azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4
222.729,63.122,56.4,7.2,1.557,223.187,62.986,56.3,7.2,1.55,223.648,62.846,57.5,7.1,1.55,224.098,62.708,56.0,7.3,1.546,224.537,62.57,53.8,8.0,1.537
223.187,62.986,56.3,7.2,1.55,223.648,62.846,57.5,7.1,1.55,224.098,62.708,56.0,7.3,1.546,224.537,62.57,53.8,8.0,1.537,224.979,62.43,54.4,8.0,1.524
223.648,62.846,57.5,7.1,1.55,224.098,62.708,56.0,7.3,1.546,224.537,62.57,53.8,8.0,1.537,224.979,62.43,54.4,8.0,1.524,225.474,62.27,55.4,7.7,1.52
224.098,62.708,56.0,7.3,1.546,224.537,62.57,53.8,8.0,1.537,224.979,62.43,54.4,8.0,1.524,225.474,62.27,55.4,7.7,1.52,225.853,62.145,57.1,7.3,1.515
224.537,62.57,53.8,8.0,1.537,224.979,62.43,54.4,8.0,1.524,225.474,62.27,55.4,7.7,1.52,225.853,62.145,57.1,7.3,1.515,226.298,61.996,57.4,7.2,1.508
224.979,62.43,54.4,8.0,1.524,225.474,62.27,55.4,7.7,1.52,225.853,62.145,57.1,7.3,1.515,226.298,61.996,57.4,7.2,1.508,226.719,61.854,54.9,8.0,1.505
225.474,62.27,55.4,7.7,1.52,225.853,62.145,57.1,7.3,1.515,226.298,61.996,57.4,7.2,1.508,226.719,61.854,54.9,8.0,1.505,227.968,61.417,54.4,7.9,1.497
225.853,62.145,57.1,7.3,1.515,226.298,61.996,57.4,7.2,1.508,226.719,61.854,54.9,8.0,1.505,227.968,61.417,54.4,7.9,1.497,228.375,61.271,53.6,8.2,1.485
226.298,61.996,57.4,7.2,1.508,226.719,61.854,54.9,8.0,1.505,227.968,61.417,54.4,7.9,1.497,228.375,61.271,53.6,8.2,1.485,228.779,61.123,52.5,8.5,1.48
226.719,61.854,54.9,8.0,1.505,227.968,61.417,54.4,7.9,1.497,228.375,61.271,53.6,8.2,1.485,228.779,61.123,52.5,8.5,1.48,229.193,60.97,53.6,8.2,1.478
